Alpha,nH,Cost,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Test Support,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Train Support
1e-06,1,48416.342868386026,0.32695319297024533,0.017144160583941605,0.04992029755579171,0.02552295571855474,5747.0,0.3240386288498347,0.01693570389232448,0.049899517684887464,0.025288565996740904,22988.0
1e-05,1,45937.6355607297,0.3386114494518879,0.029690977063342356,0.09992029755579171,0.0455828359580757,5747.0,0.3353053767182878,0.029937711924453,0.09989951768488746,0.04592601619594409,22988.0
0.0001,1,45253.32953507294,0.3386114494518879,0.029690977063342356,0.09992029755579171,0.0455828359580757,5747.0,0.3353053767182878,0.029937711924453,0.09989951768488746,0.04592601619594409,22988.0
1e-06,2,48302.82799673541,0.32730120062641377,0.01689419795221843,0.04997343251859724,0.025251711639146197,5747.0,0.32429963459196104,0.01669353755206234,0.049939710610932476,0.025022656328667802,22988.0
1e-05,2,31322.80963255694,0.4612841482512615,0.08071696959923592,0.15219595624142584,0.08579520864311527,5747.0,0.46171915782147205,0.08166092353606329,0.15155263481905493,0.08562264405711255,22988.0
0.0001,2,45242.712835779304,0.33895945710805636,0.04739121940747102,0.10093522292892605,0.05191851188368983,5747.0,0.33504437097616147,0.0446437982821339,0.0987706265169338,0.04943837228171723,22988.0
1e-06,5,35053.141996224556,0.4503219070819558,0.06829402046436357,0.1023500634475389,0.06366300367967975,5747.0,0.45193144249173484,0.0760186811624584,0.10198962789300021,0.06342431668329471,22988.0
1e-05,5,28834.30759667184,0.4933008526187576,0.11353771132881355,0.17815185303539657,0.12861361499966248,5747.0,0.4930833478336523,0.10662089928230674,0.16758867835936217,0.12066554219030375,22988.0
0.0001,5,45315.380025731414,0.33791543413955105,0.04040854326008899,0.09343273536673698,0.055143578286648134,5747.0,0.33574038628849834,0.04398951667200783,0.10223497255940484,0.05997819959323698,22988.0
1e-06,10,31985.901737075277,0.4840786497302941,0.08377670758304248,0.11945231402354914,0.08771502609586891,5747.0,0.48773273012006263,0.08252836365626603,0.11919293599608656,0.08817665278574167,22988.0
1e-05,10,28937.47188844589,0.4981729598051157,0.12363353180769858,0.16696513814733244,0.12198013361573538,5747.0,0.5015660344527579,0.12804303377123877,0.17568475994027624,0.12708196513315517,22988.0
0.0001,10,49049.513155235756,0.3375674264833826,0.039671458704815143,0.09209940203340365,0.05431645330554992,5747.0,0.3356968853314773,0.0439041343058416,0.10203061083160561,0.06003105409263056,22988.0
1e-06,15,30647.021936382298,0.49538889855576823,0.09069520400879225,0.1591463414851339,0.10828306856493561,5747.0,0.4993474856446842,0.09124108074151954,0.15508970590461843,0.10792357190225248,22988.0
1e-05,15,28319.13647719862,0.5044370976161475,0.15325415699859585,0.17671209727309292,0.13088946578246624,5747.0,0.5034365756046633,0.12639599345973132,0.16970390292681825,0.1252864416268348,22988.0
0.0001,15,45147.94013126831,0.33791543413955105,0.04040854326008899,0.09343273536673698,0.055143578286648134,5747.0,0.3357838872455194,0.044119438832083524,0.10242802275245504,0.060142718869543074,22988.0
1e-06,20,30207.1747003617,0.4978249521489473,0.11608513367793316,0.1663930059688964,0.12994935801755908,5747.0,0.5039585870889159,0.12027973145573054,0.1768833347722933,0.13606385588609954,22988.0
1e-05,20,28300.499198113055,0.5013050287106317,0.12039455491371251,0.1682032109538801,0.1233688717931605,5747.0,0.5058726291978424,0.12050649819325802,0.17819377034432968,0.12944168827567024,22988.0
0.0001,20,139735.00057994243,0.13485296676526884,0.029369459126884247,0.09284577114427861,0.04071340598244788,5747.0,0.14068209500609014,0.03355640721476982,0.10194030526061777,0.0464218127117052,22988.0
1e-06,25,29804.77014112009,0.4962589176961893,0.10526933393716484,0.16323465324886866,0.12043626296784786,5747.0,0.5066121454672002,0.10932241547745725,0.17090582501803692,0.12483200952638511,22988.0
1e-05,25,28348.746593317202,0.5028710631633896,0.12262473173383168,0.17029874033386366,0.12656160600387212,5747.0,0.5073951626935792,0.12330655215600081,0.17753774080883394,0.13040744537756693,22988.0
0.0001,25,56753.43214398536,0.33895945710805636,0.043064832268944496,0.09822875526723449,0.05914851581986001,5747.0,0.33556638246041415,0.04343758032672425,0.10141752564820794,0.0600180394342076,22988.0
1e-06,30,29807.276556421737,0.4973029406646946,0.10340760218647035,0.16762559630461757,0.1199587255434574,5747.0,0.49956499042978947,0.10102686086675461,0.1647017607825264,0.11630981606665527,22988.0
1e-05,30,28114.963621569168,0.5061771358969898,0.12712161462321347,0.17727293753755402,0.1330229267509049,5747.0,0.5113537497824953,0.13020182037353104,0.1843884647777476,0.13793094012203547,22988.0
0.0001,30,99832.43729155435,0.33774143031146686,0.04017786844911014,0.09284567069012006,0.05494425905290155,5747.0,0.33565338437445624,0.04383048270446129,0.10183077371770599,0.059995975100538154,22988.0
1e-06,"[5, 10]",33368.698401769914,0.45258395684705066,0.07523384593112101,0.10327454000534295,0.06508410901068058,5747.0,0.4548895075691665,0.07513729182066951,0.10314421941361737,0.06518294132668492,22988.0
