Alpha  ,nH            ,Cost                ,Test Accuracy       ,Macro Test Precision ,Macro Test Recall   ,Macro Test F1-Score  ,Macro Test Support ,Weighted Test Accuracy ,Weighted Test Precision ,Weighted Test Recall ,Weighted Test F1-Score ,Weighted Test Support ,Train Accuracy      ,Macro Train Precision ,Macro Train Recall  ,Macro Train F1-Score ,Macro Train Support ,Weighted Train Accuracy ,Weighted Train Precision ,Weighted Train Recall ,Weighted Train F1-Score ,Weighted Train Support
1e-06  ,1             , 48960.51429263746  ,0.33165129632851925 ,0.016582564816425963 ,0.05                ,0.02490526590879394  ,            5747.0 ,   0.33165129632851925 ,   0.10999258235638727  , 0.33165129632851925 ,  0.16519727448115973  ,               5747.0 ,0.3236471202366452  , 0.01618235601183226  ,0.05                ,0.024451163402129616 ,            22988.0 ,    0.3236471202366452  ,    0.10474745843747349  ,  0.3236471202366452  ,    0.15827097243069807 ,               22988.0
1e-05  ,1             , 45989.062655216905 ,0.34348355663824603 ,0.0318101824965243   ,0.09989506820566632 ,0.048185347738014854 ,            5747.0 ,   0.34348355663824603 ,   0.11834914631360366  , 0.34348355663824603 ,  0.17600930150915717  ,               5747.0 ,0.33408734992169825 , 0.029410326466494146 ,0.09990591397849462 ,0.045263100053028665 ,            22988.0 ,    0.33408734992169825 ,    0.11214488548266106  ,  0.33408734992169825 ,    0.16784775523177867 ,               22988.0
0.0001 ,1             , 45350.45773405875  ,0.3419175221854881  ,0.029995666367492034 ,0.09989506820566632 ,0.04594258246470295  ,            5747.0 ,   0.3419175221854881  ,   0.1174966678816588   , 0.3419175221854881  ,  0.1748128713291723   ,               5747.0 ,0.33469636331999303 , 0.030099981638907935 ,0.09990591397849462 ,0.04613588209030217  ,            22988.0 ,    0.33469636331999303 ,    0.11245809237321265  ,  0.33469636331999303 ,    0.16829505489435687 ,               22988.0
1e-06  ,2             , 36026.525670165334 ,0.4492778841134505  ,0.05080671308732472  ,0.09953884133609317 ,0.058591516170840865 ,            5747.0 ,   0.4492778841134505  ,   0.25169671458834336  , 0.4492778841134505  ,  0.30205537170268026  ,               5747.0 ,0.4444492778841134  , 0.04333042495889995  ,0.09967139115787531 ,0.058368170011587936 ,            22988.0 ,    0.4444492778841134  ,    0.22790323847495642  ,  0.4444492778841134  ,    0.2944930042156947  ,               22988.0
1e-05  ,2             , 31212.856863553417 ,0.46424221332869325 ,0.07891685022864736  ,0.15133763685204876 ,0.08486071460457034  ,            5747.0 ,   0.46424221332869325 ,   0.3056803340904197   , 0.46424221332869325 ,  0.32988988666737523  ,               5747.0 ,0.4596311118844615  , 0.07761333251662648  ,0.15115242445448343 ,0.08504455609598968  ,            22988.0 ,    0.4596311118844615  ,    0.2968337837935177   ,  0.4596311118844615  ,    0.3226633243516735  ,               22988.0
0.0001 ,2             , 45278.9060925443   ,0.3419175221854881  ,0.029995666367492034 ,0.09989506820566632 ,0.04594258246470295  ,            5747.0 ,   0.3419175221854881  ,   0.1174966678816588   , 0.3419175221854881  ,  0.1748128713291723   ,               5747.0 ,0.33469636331999303 , 0.030099981638907935 ,0.09990591397849462 ,0.04613588209030217  ,            22988.0 ,    0.33469636331999303 ,    0.11245809237321265  ,  0.33469636331999303 ,    0.16829505489435687 ,               22988.0
1e-06  ,5             , 34375.37011940491  ,0.4814685923090308  ,0.0770059288884806   ,0.11381015737328444 ,0.08077019494565277  ,            5747.0 ,   0.4814685923090308  ,   0.3292431483030422   , 0.4814685923090308  ,  0.36423023017802675  ,               5747.0 ,0.47816251957543066 , 0.07644783948380489  ,0.11365345228497045 ,0.0805381573553749   ,            22988.0 ,    0.47816251957543066 ,    0.3253820487372903   ,  0.47816251957543066 ,    0.359835606850435   ,               22988.0
1e-05  ,5             , 28734.876933124906 ,0.5054811205846529  ,0.1292109854806024   ,0.17788346855914777 ,0.12977906606488948  ,            5747.0 ,   0.5054811205846529  ,   0.4030604088297216   , 0.5054811205846529  ,  0.41544535011485834  ,               5747.0 ,0.5043500957021054  , 0.1263155337962298   ,0.17732071182511638 ,0.12905471330079876  ,            22988.0 ,    0.5043500957021054  ,    0.40081277720793     ,  0.5043500957021054  ,    0.4136543371790443  ,               22988.0
0.0001 ,5             , 47546.85939356887  ,0.13398294762484775 ,0.03737221384280208  ,0.1005952380952381  ,0.04083084364774506  ,            5747.0 ,   0.13398294762484775 ,   0.023095530726110362 , 0.13398294762484775 ,  0.034657062071242646 ,               5747.0 ,0.141378110318427   , 0.037682584782935215 ,0.10163503349394758 ,0.041595947278481704 ,            22988.0 ,    0.141378110318427   ,    0.02451326395083358  ,  0.141378110318427   ,    0.03767002317261489 ,               22988.0
1e-06  ,10            , 31216.5166436836   ,0.48964677222898906 ,0.09468629153326144  ,0.11890383650081855 ,0.08977027403344953  ,            5747.0 ,   0.48964677222898906 ,   0.3650184353820741   , 0.48964677222898906 ,  0.38393333136146773  ,               5747.0 ,0.48673220810857837 , 0.09612973492173775  ,0.11887234771614123 ,0.08973870385787439  ,            22988.0 ,    0.48673220810857837 ,    0.3665879843546037   ,  0.48673220810857837 ,    0.3806344754123535  ,               22988.0
1e-05  ,10            , 28562.87788118855  ,0.5073951626935792  ,0.11267688023410738  ,0.1749651132737712  ,0.11515008302592097  ,            5747.0 ,   0.5073951626935792  ,   0.4055774649260487   , 0.5073951626935792  ,  0.41527220273022386  ,               5747.0 ,0.5066556464242213  , 0.11184469774502297  ,0.17514803725726757 ,0.11626036735541892  ,            22988.0 ,    0.5066556464242213  ,    0.40259711693793726  ,  0.5066556464242213  ,    0.41417158735938886 ,               22988.0
0.0001 ,10            , 49594.796493535985 ,0.13433095528101618 ,0.03473510963921923  ,0.10089285714285715 ,0.0457131002871368   ,            5747.0 ,   0.13433095528101618 ,   0.02243075463571684  , 0.13433095528101618 ,  0.035907911899195476 ,               5747.0 ,0.14111710457630067 , 0.033488666251068465 ,0.10097837583734867 ,0.04546372351698237  ,            22988.0 ,    0.14111710457630067 ,    0.023586223197737188 ,  0.14111710457630067 ,    0.03851050665190891 ,               22988.0
1e-06  ,15            , 30335.647183215708 ,0.5002610057421263  ,0.09257983086694953  ,0.1700620776676463  ,0.11028830782541363  ,            5747.0 ,   0.5002610057421263  ,   0.3657789623789286   , 0.5002610057421263  ,  0.40415641299191757  ,               5747.0 ,0.4986514703323473  , 0.0933573830951667   ,0.17039251024054444 ,0.11109279835339765  ,            22988.0 ,    0.4986514703323473  ,    0.3633409282762904   ,  0.4986514703323473  ,    0.4018407135755353  ,               22988.0
1e-05  ,15            , 28531.8556544767   ,0.5023490516791369  ,0.09988011382645147  ,0.17496870191332237 ,0.11340498045679503  ,            5747.0 ,   0.5023490516791369  ,   0.38792261347118223  , 0.5023490516791369  ,  0.4127534965230396   ,               5747.0 ,0.5030885679484949  , 0.10804127961587433  ,0.17568289145461127 ,0.11556228902827995  ,            22988.0 ,    0.5030885679484949  ,    0.4010275658856081   ,  0.5030885679484949  ,    0.4137349462255947  ,               22988.0
0.0001 ,15            , 59846.16123672684  ,0.3431355489820776  ,0.04744165798310848  ,0.10316887772947583 ,0.06149440540991012  ,            5747.0 ,   0.3431355489820776  ,   0.12185920514883866  , 0.3431355489820776  ,  0.17874078401007507  ,               5747.0 ,0.33504437097616147 , 0.044768177444243565 ,0.10219025996509705 ,0.05965076055458153  ,            22988.0 ,    0.33504437097616147 ,    0.11569989984672101  ,  0.33504437097616147 ,    0.17126484503715225 ,               22988.0
1e-06  ,20            , 30237.14412265205  ,0.503915086131895   ,0.12665779039783845  ,0.16153009812720026 ,0.12153823211311891  ,            5747.0 ,   0.503915086131895   ,   0.42499467659566986  , 0.503915086131895   ,  0.42525758211287534  ,               5747.0 ,0.5033930746476423  , 0.12964200940110074  ,0.15907310106416248 ,0.12164636668170417  ,            22988.0 ,    0.5033930746476423  ,    0.4304649686588097   ,  0.5033930746476423  ,    0.42450550211830484 ,               22988.0
1e-05  ,20            , 29034.591994582373 ,0.5044370976161475  ,0.11241830026239345  ,0.18034602792508828 ,0.12786215434543596  ,            5747.0 ,   0.5044370976161475  ,   0.3820634108636898   , 0.5044370976161475  ,  0.4153912743990722   ,               5747.0 ,0.5036540803897686  , 0.1136434229424816   ,0.18179071986716644 ,0.12892772181298323  ,            22988.0 ,    0.5036540803897686  ,    0.37935678061502004  ,  0.5036540803897686  ,    0.4133132725450962  ,               22988.0
0.0001 ,20            , 56368.22031945699  ,0.3424395336697407  ,0.04492563241163465  ,0.09999427455487267 ,0.059523760618980924 ,            5747.0 ,   0.3424395336697407  ,   0.12124391712929165  , 0.3424395336697407  ,  0.1782772147730017   ,               5747.0 ,0.3347398642770141  , 0.043544864342411324 ,0.10092542273393004 ,0.058993405401644904 ,            22988.0 ,    0.3347398642770141  ,    0.11542853657413393  ,  0.3347398642770141  ,    0.17111489403359964 ,               22988.0
1e-06  ,25            , 29691.387329774418 ,0.506351139725074   ,0.12948765701151208  ,0.17579899242474642 ,0.13728379504185587  ,            5747.0 ,   0.506351139725074   ,   0.40859904974944244  , 0.506351139725074   ,  0.4283680115602021   ,               5747.0 ,0.5053506177135897  , 0.127663785458051    ,0.17479477319419917 ,0.13453708141853093  ,            22988.0 ,    0.5053506177135897  ,    0.4079018124311177   ,  0.5053506177135897  ,    0.42648268716616994 ,               22988.0
1e-05  ,25            , 28192.279105527854 ,0.5061771358969898  ,0.12449062141292     ,0.17424889957558345 ,0.13075846925837756  ,            5747.0 ,   0.5061771358969898  ,   0.4047252004108542   , 0.5061771358969898  ,  0.422365071011063    ,               5747.0 ,0.5062641378110319  , 0.1266366298924224   ,0.17643557810695681 ,0.13221627039802225  ,            22988.0 ,    0.5062641378110319  ,    0.4081189699499221   ,  0.5062641378110319  ,    0.42228623382287706 ,               22988.0
0.0001 ,25            , 75485.04503329241  ,0.12998085957891073 ,0.03231631892127758  ,0.09851190476190476 ,0.04383947891359097  ,            5747.0 ,   0.12998085957891073 ,   0.020908401679928138 , 0.12998085957891073 ,  0.0339085473233006   ,               5747.0 ,0.1331564294414477  , 0.03227839560245634  ,0.10028352332824068 ,0.04456224240316749  ,            22988.0 ,    0.1331564294414477  ,    0.02136500038635527  ,  0.1331564294414477  ,    0.03504485223258805 ,               22988.0
1e-06  ,30            , 29970.834047189812 ,0.4978249521489473  ,0.114292838329431    ,0.16905142499052966 ,0.1189648310001837   ,            5747.0 ,   0.4978249521489473  ,   0.4049068327743496   , 0.4978249521489473  ,  0.4208529278091575   ,               5747.0 ,0.4989559770314947  , 0.11624779305128433  ,0.17065261627440487 ,0.12067181427037343  ,            22988.0 ,    0.4989559770314947  ,    0.40516994531532863  ,  0.4989559770314947  ,    0.4197193587654466  ,               22988.0
1e-05  ,30            , 28289.00337519162  ,0.504785105272316   ,0.117252319660793    ,0.17659262950638915 ,0.1281188945846521   ,            5747.0 ,   0.504785105272316   ,   0.3961775818102433   , 0.504785105272316   ,  0.41822906385284075  ,               5747.0 ,0.5061771358969898  , 0.12382587273858006  ,0.17761807566245963 ,0.12937935203922363  ,            22988.0 ,    0.5061771358969898  ,    0.40978254500872663  ,  0.5061771358969898  ,    0.4198100722560024  ,               22988.0
